timestamps,TP9,FP1,FP2,TP10,n/a,n/a
1509076511.450,835.307,832.497,842.710,820.845,0.000,0.000
1509076511.466,790.070,829.276,831.195,782.051,0.000,0.000
1509076511.466,775.060,827.014,828.796,775.128,0.000,0.000
1509076511.466,785.821,822.559,827.631,792.949,0.000,0.000
1509076511.466,808.645,825.163,832.360,813.511,0.000,0.000
1509076511.466,833.388,828.864,842.504,842.504,0.000,0.000
1509076511.466,880.750,832.566,847.576,881.709,0.000,0.000
1509076511.466,924.342,837.295,854.773,912.279,0.000,0.000
1509076511.466,923.725,837.364,860.393,908.029,0.000,0.000
1509076511.483,885.753,834.896,856.075,877.871,0.000,0.000
1509076511.483,834.279,831.195,844.012,826.808,0.000,0.000
1509076511.483,791.441,823.450,830.304,793.292,0.000,0.000
1509076511.483,770.947,819.611,827.288,777.802,0.000,0.000
1509076511.483,775.745,821.188,831.400,779.789,0.000,0.000
1509076511.483,804.807,827.082,835.444,802.819,0.000,0.000
1509076511.483,845.588,829.550,838.666,847.645,0.000,0.000
1509076511.483,883.492,830.989,845.588,882.669,0.000,0.000
1509076511.533,927.769,832.292,855.253,910.976,0.000,0.000
1509076511.533,930.373,827.014,859.639,909.469,0.000,0.000
1509076511.533,893.567,814.334,852.443,886.096,0.000,0.000
1509076511.533,833.388,813.100,839.214,825.917,0.000,0.000
1509076511.533,778.213,803.641,831.126,772.592,0.000,0.000
1509076511.533,765.121,803.847,830.578,765.053,0.000,0.000
1509076511.533,784.861,813.511,828.248,789.796,0.000,0.000
1509076511.533,814.060,821.531,833.457,815.430,0.000,0.000
1509076511.533,850.044,827.357,842.641,854.841,0.000,0.000
1509076511.535,895.075,833.457,850.455,890.757,0.000,0.000
1509076511.535,937.296,839.762,859.434,918.379,0.000,0.000
1509076511.535,936.199,842.298,859.434,917.556,0.000,0.000
1509076511.535,891.648,837.364,855.527,882.189,0.000,0.000
1509076511.535,835.787,831.126,845.863,830.098,0.000,0.000
1509076511.535,785.958,824.546,834.211,793.360,0.000,0.000
1509076511.535,768.411,821.119,828.590,785.067,0.000,0.000
1509076511.535,786.095,819.269,829.687,798.981,0.000,0.000
1509076511.538,817.898,819.886,834.622,822.422,0.000,0.000
1509076511.538,852.717,822.901,846.411,861.696,0.000,0.000
1509076511.538,888.975,827.151,852.305,893.773,0.000,0.000
